trial_name,d_model,lr,n_layers,weight_decay,val_accuracy,time
run_trial_c3446_00000,256,0.0023,6,0.0013,0.288,373.359
run_trial_c3446_00001,512,0.0139,4,0.0225,0.433,467.452
run_trial_c3446_00002,384,0.0153,6,0.0921,0.435,529.727
run_trial_c3446_00003,512,0.0036,8,0.0100,0.389,898.910
run_trial_c3446_00004,384,0.0068,6,0.0037,0.372,530.208
run_trial_c3446_00005,512,0.0119,8,0.0190,0.469,899.491
run_trial_c3446_00006,384,0.0018,4,0.0607,0.314,364.085
run_trial_c3446_00007,256,0.0071,6,0.0722,0.368,374.822
run_trial_c3446_00008,256,0.0028,4,0.0040,0.308,260.046
run_trial_c3446_00009,256,0.0032,8,0.0047,0.343,489.346
run_trial_c3446_00010,512,0.0196,6,0.0429,0.478,685.461
run_trial_c3446_00011,384,0.0135,4,0.0027,0.423,364.857
run_trial_c3446_00012,256,0.0019,4,0.0379,0.288,260.591
run_trial_c3446_00013,384,0.0026,4,0.0215,0.330,364.767
run_trial_c3446_00014,256,0.0084,8,0.0310,0.395,487.829